,Name,Time_min,Time_max,Space_min,Space_max,Color,Reference(s),Category,ProcessType,Notes
0,cellular traits & metabolic networks,1.00E-02,1,1.00E-27,1.00E-18,#7BA3B3,Boyd et al. (2015); Dickey (2003),Physical processes,Experiments,L_v = 1 mm – 1 cm (thin layers); V = L_h² × L_v.
1,"microbial rates, growth & death",1.00E+01: ~1 minute,1.00E+07: ~3 hours,1.00E-18: 1 µm³,1.00E-15: 1 fL (single cell),#6B9D9D,Boyd et al. (2015); Dickey (2003),Biological processes,Experiments,Intracellular only. Space_max = 10⁻¹⁵ m³. Number 1-2-3 in diagram.
2,cellular behavior & microbial interactions,1.00E+02: ~2 minutes,1.00E+04: ~3 hours,1.00E-15: 1 fL (biofilm base),1.00E-03: 1 L (small colony),#6B9D9D,Boyd et al. (2015); Dickey (2003),Biological processes,Experiments,Intracellular & single-organism scale only. Space_max = 10⁻¹⁵ m³. Number 4 in diagram.
3,marine snow particles,1.00E+04: ~3 hours,1.00E+06: ~12 days,1.00E-08: 1 mm³ (single particle),1.00E-06: 10¹² m³,#6B9D9D,Boyd et al. (2015); Dickey (2003),Biological processes,Experiments,Community-level microbial metabolism at patch/colony scale.
4,Blooms,1.00E+06: ~12 days,1.00E+08: ~3 years,2.00E+10: 2×10¹⁰ m³,1.00E+15: 10¹⁵ m³,#7BA3B3,Boyd et al. (2015); Dickey (2003),Physical processes,Models,L_v = 200–1000 m; V = L_h² × L_v.
5,Biological pump,1.00E+05: ~1 day,1.00E+07: ~4 months,1.00E+11: 10¹¹ m³,4.00E+15: 4×10¹⁵ m³,#8CB3A3,Boyd et al. (2015); Dickey (2003),Bio-chemical & biological processes,Models,L_v = 1000–4000 m (full water column); V = L_h² × L_v.
6,planetary-scale model,1.00E+05: ~1 day,1.00E+10: ~300 years,4.00E+13: 4×10¹³ m³,1.50E+18: ~global ocean,#8CB3A3,Boyd et al. (2015); Dickey (2003),Bio-chemical & biological processes,Models,L_v ~ 4000 m. Space_max = 1.5×10¹⁸ m³. Number 9 in diagram.
