,Name,Time_min,Time_max,Space_min,Space_max,Color,Reference(s),Sub-reference ([TODO] check use in original reference before publication),Definition,Notes
0,Biomineralization,1.00E+06: ~12 days,1.00E+08: ~3 years ,1.00E-12: 100 cubic µm (pollen grain),1.00E0: one cubic meter (1000 liters),,,,,
1,Quorum Sensing,1.00E+02: ~2 minutes ,1.00E+06: ~12 days,1.00E-15: 10 cubic µm (typical yeast cell volume),1.00E-6: 1 cubic cm (1 milliliter),,,Miller & Bassler (2001) Ann Rev Microbiol 55:165-199,"Cell-to-cell signaling via diffusible autoinducers that coordinates group behaviors (bioluminescence, biofilm formation, virulence) when population density exceeds a threshold concentration.","Alma et al show that there is a short interaction range for microenviroments (~ 20um). This work does not have 3D dimensional space. It is done in a 2D planar chip, confined to one cell thickness."
2,Biofilm formation, 1.00E+04: ~3 hours ,1.00E+07: ~3 months,1.00E-12: 100 cubic µm (pollen grain),1.00E0: one cubic meter (1000 liters),Microcolonies → Microenvironment → Nutrient patches → Local communities -> Meta communities and meta populations,Area in m^2 but depth might not be in meters.,,,
3,Cross feeding,1.00E+02: ~2 minutes ,1.00E+06: ~12 days,1.00E-15: 10 cubic µm (typical yeast cell volume),1.00E-6: 1 cubic cm (1 milliliter),,,,"Metabolic exchange between microbial species where the waste product of one organism serves as a nutrient for another, creating obligate or facultative syntrophic interactions.","Patches for bacterial cells Patch size: micrometers to centimeters, often submillimeter scale for dissolved organic matter patches. Patch lifetime: seconds to minutes for ephemeral patches, hours to days for persistent ones (e.g., around particles)."
4,Chemotaxis,1.00E+01: 10s of seconds , 1.00E+04: ~3 hours ,1.00E-18: 1 cubic µm (typical bacterial cell volume),1.00E-6: 1 cubic cm (1 milliliter),,,Berg & Brown (1972) Nature 239:500-504,,
5,Horizontal gene transfer,1.00E+02: ~2 minutes ,1.00E+06: ~12 days,1.00E-18: 1 cubic µm (typical bacterial cell volume),1.00E-03: 1 cubic cm to soil aggregate scale,,,,,Physical conjugation/transduction scale. Evolutionary spread of transferred genes is global but conflates process with consequence.
