,ShortName,Time_min,Time_max,Space_min,Space_max,Color,Reference(s),Category,ProcessType,Notes,label_side,x_offset,y_offset,label_text,start_visible,icon
0,cellular reactions,1.00E+00: ~1 second,1.00E+02: ~2 minutes,1.00E-18: 1 µm³,1.00E-15: 1000 µm³,#E4A6A6,Scaling paper Figure 1 (in prep),microscale experiments,microscale experiments,Extents are figure-read estimates from 20260616_scaling_fig1; verify before publication.,below,0,6,cellular reactions,TRUE,cellular_rxn
1,behavior & interactions,1.00E+00: ~1 second,1.00E+02: ~2 minutes,1.00E-12: 1 mm³ scale,1.00E-09: 1 cm³ scale,#E4A6A6,Scaling paper Figure 1 (in prep),microscale experiments,microscale experiments,Extents are figure-read estimates from 20260616_scaling_fig1; verify before publication.,left,0,0,behavior & interactions,TRUE,interactions
2,"microbial rates, growth & death",1.00E+02: ~2 minutes,1.00E+05: ~1 day,1.00E-15: 1000 µm³,1.00E-09: 1 cm³ scale,#E4A6A6,Scaling paper Figure 1 (in prep),microscale experiments,microscale experiments,Extents are figure-read estimates from 20260616_scaling_fig1; verify before publication.,right,0,0,"microbial rates, growth & death",TRUE,microbial_processes
3,particle dynamics,1.00E+03: ~15 minutes,1.00E+05: ~1 day,1.00E-11: aggregate scale,1.00E-08: 10 cm³ scale,#E4A6A6,Scaling paper Figure 1 (in prep),microscale experiments,microscale experiments,Extents are figure-read estimates from 20260616_scaling_fig1; verify before publication.,right,0,0,particle dynamics,TRUE,particle_dynamics
4,blooms,1.00E+04: ~3 hours,1.00E+06: ~12 days,1.00E+09: km³,1.00E+18: Mm³,#A9B0B5,Scaling paper Figure 1 (in prep),large-scale models,large-scale models,Extents are figure-read estimates from 20260616_scaling_fig1; verify before publication.,below,0,6,blooms,TRUE,bloom
5,biological pump,1.00E+05: ~1 day,1.00E+07: ~4 months,1.00E+09: km³,1.00E+15: 10¹⁵ m³,#A9B0B5,Scaling paper Figure 1 (in prep),large-scale models,large-scale models,"Extents are figure-read estimates from 20260616_scaling_fig1; verify before publication. Boyd2015 canonical: S[1e11,4e15].",below,0,6,biological pump,TRUE,biopump
6,biogeochemical cycles,1.00E+06: ~12 days,1.00E+08: ~3 years,1.00E+12: 10¹² m³,1.00E+18: Mm³ / global,#A9B0B5,Scaling paper Figure 1 (in prep),large-scale models,large-scale models,"Extents are figure-read estimates from 20260616_scaling_fig1; verify before publication. Boyd2015 canonical: T[1e5,1e10], S[4e13,1.5e18].",below,0,6,biogeochemical cycles,TRUE,bgc_cycle
